time,e1,e2,e3,e4,i1,i2
0.184,3.09016994374948,1.93135621484342,2.70389870078079,6.18033988749896,-1.15881372890605,-3.47644118671816
0.185,-1.22588476042053e-14,-7.66177975262831e-15,-1.07264916536796e-14,-2.45176952084106e-14,4.59706785157699e-15,1.3791203554731e-14
0.186,-3.0901699437495,-1.93135621484344,-2.70389870078082,-6.18033988749901,1.15881372890606,3.47644118671819
0.187,-5.87785252292477,-3.67365782682798,-5.14312095755917,-11.7557050458495,2.20419469609679,6.61258408829037
0.188,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.189,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.19,-10,-6.25,-8.75,-20,3.75,11.25
0.191,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.192,-8.09016994374944,-5.0563562148434,-7.07889870078076,-16.1803398874989,3.03381372890604,9.10144118671812
0.193,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.61258408829031
0.194,-3.09016994374945,-1.9313562148434,-2.70389870078077,-6.18033988749889,1.15881372890604,3.47644118671813
0.195,4.6561337593063e-14,2.91008359956643e-14,4.07411703939301e-14,9.31226751861259e-14,-1.74605015973986e-14,-5.23815047921958e-14
0.196,3.09016994374953,1.93135621484346,2.70389870078084,6.18033988749907,-1.15881372890608,-3.47644118671823
0.197,5.8778525229248,3.673657826828,5.1431209575592,11.7557050458496,-2.2041946960968,-6.6125840882904
0.198,8.09016994374949,5.05635621484343,7.0788987007808,16.180339887499,-3.03381372890606,-9.10144118671818
0.199,9.51056516295155,5.94410322684472,8.32174451758261,19.0211303259031,-3.56646193610683,-10.6993858083205
0.2,10,6.25,8.75,20,-3.75,-11.25
0.201,9.51056516295151,5.94410322684469,8.32174451758257,19.021130325903,-3.56646193610682,-10.6993858083205
0.202,8.0901699437495,5.05635621484344,7.07889870078081,16.180339887499,-3.03381372890606,-9.10144118671819
0.203,5.87785252292475,3.67365782682797,5.14312095755916,11.7557050458495,-2.20419469609678,-6.61258408829035
0.204,3.09016994374948,1.93135621484343,2.7038987007808,6.18033988749896,-1.15881372890606,-3.47644118671817
0.205,-9.80955400591059e-15,-6.13097125369412e-15,-8.58335975517177e-15,-1.96191080118212e-14,3.67858275221647e-15,1.10357482566494e-14
0.206,-3.0901699437495,-1.93135621484344,-2.70389870078081,-6.180339887499,1.15881372890606,3.47644118671819
0.207,-5.87785252292477,-3.67365782682798,-5.14312095755917,-11.7557050458495,2.20419469609679,6.61258408829036
0.208,-8.09016994374951,-5.05635621484345,-7.07889870078082,-16.180339887499,3.03381372890607,9.1014411867182
0.209,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.21,-10,-6.25,-8.75,-20,3.75,11.25
0.211,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.212,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671817
