time,e1,e2,e3,e4,i1
0.232,-279.110863059359,-86.2260765896984,2.55192830752638,-92.0311295945549,38.576957293932
0.233,-202.785912040905,-101.264774812033,2.861308283949,-103.610813964832,20.3042274457743
0.234,-106.610863059358,-106.391014785934,2.89091194901302,-105.048257522047,0.0439696546849184
0.235,-1.01400754969401e-12,-101.102989919426,2.63782959556436,-96.2027319075958,-20.220597983885
0.236,106.610863059356,-85.9183153362158,2.12682234154214,-77.9400794610606,-38.5058356791145
0.237,202.785912040903,-62.3233600951238,1.40789842575127,-52.0479584787707,-53.0218544272054
0.238,279.110863059357,-32.6277510211006,0.551418134951123,-21.0608546995598,-62.3477228160916
0.239,328.114498121828,0.261709673134575,-0.358793473928135,11.9880118866991,-65.5705576897388
0.24,345,33.1255824561409,-1.23365188171407,43.8635998170704,-62.3748835087718
0.241,328.114498121829,62.7469316685187,-1.98753325234336,71.4457146280855,-53.073513290662
0.242,279.110863059358,86.2262216196458,-2.54665582702044,92.0344353058652,-38.5769282879424
0.243,202.785912040904,101.265143366167,-2.85630213787724,103.614401444383,-20.3041537349475
0.244,106.610863059357,106.391589229365,-2.88617508047502,105.052090842967,-0.0438547659984962
0.245,-1.69428354921581e-13,101.103752977926,-2.63336355537336,96.2067766368507,20.2207505955853
0.246,-106.610863059353,85.9192501459639,-2.12262738101257,77.9443027033556,38.5060226410634
0.247,-202.7859120409,62.3244502471128,-1.40397358854534,52.0523289105946,53.0220724576026
0.248,-279.110863059355,32.6289806003896,-0.547761347649708,21.0653425939237,62.3479687319489
0.249,-328.114498121827,-0.260356053126863,0.362185312835817,-11.9834346442717,65.5708284137401
0.25,-345,-33.1241196240989,1.23678281469855,-43.8589597207482,62.3751760751802
0.251,-328.114498121828,-62.7453738702386,1.99040817780959,-71.4410365515789,53.0738248503179
0.252,-279.110863059357,-86.2245824973758,2.54928041661085,-92.0297425093763,38.5772561123963
0.253,-202.785912040903,-101.26343594206,2.85868275629891,-103.609715588118,20.3044952197686
0.254,-106.610863059356,-106.389825892825,2.88831870802177,-105.047432006683,0.0442074333061591
0.255,-3.54988061720752e-12,-101.101945476624,2.6352777132894,-96.2021633449265,-20.2203890953241
0.256,106.610863059354,-85.9174095802978,2.12432005982161,-77.9397519548728,-38.5056545279304
0.257,202.785912040901,-62.3225870678996,1.4054531794472,-52.0478562139483,-53.0216998217602
0.258,279.110863059356,-32.6271046095596,0.54903657706552,-21.0609620054845,-62.3475935337831
0.259,328.114498121828,0.262235699046002,-0.361105445507821,11.987710477902,-65.5704524845563
0.26,345,33.1259944079241,-1.23588909607373,43.8631195173295,-62.3748011184152
0.261,328.114498121828,62.7472359057086,-1.989691236228,71.4450703450972,-53.0734524432239
0.262,279.110863059356,86.2264245185697,-2.54873077455911,92.0336415995846,-38.5768877081574
0.263,202.785912040902,101.265251290857,-2.85829087954834,103.613472488142,-20.304132150009
0.264,106.610863059355,106.391608504603,-2.88807505150201,105.051040389057,-0.0438509109504785
0.265,2.36644471259193e-12,101.103689864375,-2.63517276373007,96.2056179864088,20.2207379728745
0.266,-106.610863059355,85.9191108173614,-2.12434437520597,77.9430486803721,38.5059947753433
0.267,-202.785912040902,62.3242407694682,-1.40559742533291,52.0509918398634,53.0220305620741
0.268,-279.110863059357,32.6287069131379,-0.549291559837233,21.0639342827539,62.3479139944989
